Keyboard;Mode;Participant;Phrase;NbChar;Duree;Correct;NbErrors;NbPredictionUsed;predCharRatio;CarParSec;Distance
TROIS;TRAIN;1;LA PATIENCE EST UNE VERTU.;26;19.397;true;0;13;50.0%;1.340413465999897;d
TROIS;TRAIN;1;LA CASCADE DÉVERSE SES EAUX CRISTALLINES, CRÉANT UN SPECTACLE ÉPOUSTOUFLANT DE FORCE ET DE BEAUTÉ NATURELLE.;108;95.211;true;1;51;47.22222%;1.1343227148123642;d
