Keyboard;Mode;Participant;Phrase;NbChar;Duree;Correct;NbErrors;NbPredictionUsed;predCharRatio;CharParSec;Distance
TROIS;TRAIN;1;ELLES;5;6.352;true;0;2;40.0%;0.7871536523929471;259.6255274360213
TROIS;TRAIN;1;NE;2;8.633;true;0;1;50.0%;0.23166917641607787;391.6255274360213
TROIS;TRAIN;1;MANGENT;7;15.844;true;0;3;42.857143%;0.4418076243372886;895.194350016256
TROIS;TRAIN;1;QUE;3;18.536;true;0;1;33.333336%;0.16184721622788087;1166.1455042447249
TROIS;TRAIN;1;LE;2;19.958;true;0;0;0.0%;0.10021044192804891;1297.8822171482668
TROIS;TRAIN;1;MATIN;5;22.694;true;0;2;40.0%;0.2203225522164449;1581.2557636380582
TROIS;TRAIN;1;UNE;3;4.678;true;0;2;66.66667%;0.6412997007268063;176.9511542284688
TROIS;TRAIN;1;ORGANISATION;12;11.216;true;0;8;66.66667%;1.0699001426533523;678.3601301302496
TROIS;TRAIN;1;A;1;12.136;true;0;0;0.0%;0.08239947264337509;725.3601301302496
TROIS;TRAIN;1;BUT;3;16.057;true;0;1;33.333336%;0.18683440244130287;1096.5688453441278
TROIS;TRAIN;1;NON;3;19.616;true;0;1;33.333336%;0.15293637846655792;1292.1862038547936
TROIS;TRAIN;1;LUCRATIF;8;26.031;true;0;5;62.5%;0.30732588068072686;1644.0163254730824
TROIS;TRAIN;1;UTILISEZ;8;10.08;true;0;4;50.0%;0.7936507936507936;718.3188556971181
TROIS;TRAIN;1;LA;2;11.929;true;0;1;50.0%;0.16765864699471875;850.3188556971181
TROIS;TRAIN;1;PELLE;5;18.213;true;0;2;40.0%;0.2745291824520946;1156.9443831331396
TROIS;TRAIN;1;AU;2;20.529;true;0;0;0.0%;0.09742315748453408;1339.0731636258442
TROIS;TRAIN;1;LIEU;4;26.722;true;1;1;25.0%;0.1496893945063992;1867.197692804052
TROIS;TRAIN;1;DU;2;29.703;true;0;1;50.0%;0.06733326600006734;2081.2635674572693
TROIS;TRAIN;1;RATEAU;6;36.295;true;0;1;16.666668%;0.16531202644992424;2447.632973630317
