Keyboard;Mode;Participant;Phrase;NbChar;Duree;Correct;NbErrors;NbPredictionUsed;predCharRatio;CarParSec;Distance
TROIS;TRAIN;1;LA CRÉATIVITÉ N'A PAS DE LIMITES.;33;29.075;true;0;14;42.424244%;1.1349957007738607;d
TROIS;TRAIN;1;LA SIMPLICITÉ EST LA PLUS GRANDE DES SOPHISTICATIONS.;53;33.882;true;0;28;52.83019%;1.5642524054070008;d
