Keyboard;Mode;Participant;Phrase;NbChar;Duree;Correct;NbErrors;NbPredictionUsed;predCharRatio;CharParSec;Distance
TROIS;TRAIN;1;LE;2;2.732;true;0;1;50.0%;0.7320644216691068;177.13310354145995
TROIS;TRAIN;1;CHEVAL;6;6.208;true;0;5;83.33333%;0.9664948453608248;416.63621861548324
TROIS;TRAIN;1;DOIT;4;8.667;true;0;1;25.0%;0.46152071074189455;764.9523386238757
TROIS;TRAIN;1;MANGER;6;12.152;true;0;3;50.0%;0.4937458854509546;1119.9431653832974
TROIS;TRAIN;1;DU;2;13.409;true;0;0;0.0%;0.14915355358341412;1251.9431653832974
TROIS;TRAIN;1;FOIN;4;19.174;true;0;0;0.0%;0.2086158339417962;1510.054736445256
TROIS;TRAIN;1;CET;3;3.822;true;0;2;66.66667%;0.7849293563579278;221.8494308091876
TROIS;TRAIN;1;ARTISTE;7;7.363;true;0;4;57.14286%;0.9506994431617547;524.9107768993957
TROIS;TRAIN;1;EXPOSE;6;12.665;true;0;3;50.0%;0.47374654559810503;1034.7856181544353
TROIS;TRAIN;1;AU;2;14.333;true;0;1;50.0%;0.13953812879369287;1164.3042242575211
TROIS;TRAIN;1;MUSÉE;5;18.614;true;0;2;40.0%;0.26861502095197165;1614.3596605905263
TROIS;TRAIN;1;IL;2;4.029;true;0;1;50.0%;0.4964010920824026;129.49242389456137
TROIS;TRAIN;1;VA;2;6.116;true;0;0;0.0%;0.3270111183780249;345.78506992503725
TROIS;TRAIN;1;MAINTENAN;9;11.386;true;1;6;66.66667%;0.7904444054101528;619.421599459893
TROIS;TRAIN;1;T;1;24.814;false;5;0;0.0%;0.04029983074071089;1467.8847960993053
TROIS;TRAIN;1;AFFUTER;7;31.529;false;0;0;0.0%;0.22201782485965302;2187.211727785181
TROIS;TRAIN;1;TA;2;33.277;false;0;0;0.0%;0.06010157165609881;2375.211727785181
TROIS;TRAIN;1;LAME;4;35.255;false;0;3;75.0%;0.11345908381789817;2594.4560167941618
TROIS;TRAIN;1;ILS;3;3.944;true;0;1;33.333336%;0.7606490872210954;322.6322444323944
TROIS;TRAIN;1;AIMENT;6;7.927;true;0;4;66.66667%;0.7569067743156301;719.26877396725
TROIS;TRAIN;1;NI;2;11.49;true;0;0;0.0%;0.17406440382941687;850.6483443348297
TROIS;TRAIN;1;LES;3;13.359;true;0;2;66.66667%;0.22456770716370986;1027.7814478762898
TROIS;TRAIN;1;POMMES;6;20.206;true;0;2;33.333336%;0.29694150252400275;1581.6475942632335
TROIS;TRAIN;1;NI;2;22.057;true;0;0;0.0%;0.09067416239742486;1713.0271646308133
TROIS;TRAIN;1;LES;3;23.684;true;0;2;66.66667%;0.12666779260260091;1890.1602681722734
TROIS;TRAIN;1;ANANAS;6;27.019;true;0;2;33.333336%;0.2220659535882157;2319.60055926439
TROIS;TRAIN;1;JE;2;7.469;true;0;1;50.0%;0.2677734636497523;172.5367938059258
TROIS;TRAIN;1;ME;2;9.65;true;0;0;0.0%;0.20725388601036268;303.9333804090698
TROIS;TRAIN;1;SUIS;4;12.041;true;0;1;25.0%;0.33219832239847186;665.3564402990669
TROIS;TRAIN;1;FAIT;4;15.205;true;0;3;75.0%;0.2630713581058862;858.7408607652529
TROIS;TRAIN;1;À;1;16.609;true;0;0;0.0%;0.06020832078993316;1023.3798597903927
TROIS;TRAIN;1;MANGER;6;19.452;true;0;3;50.0%;0.3084515731030228;1330.485406974563
TROIS;TRAIN;1;ELLE;4;3.327;true;0;0;0.0%;1.2022843402464682;214.22913679810327
TROIS;TRAIN;1;A;1;5.32;true;0;0;0.0%;0.18796992481203006;261.22913679810324
TROIS;TRAIN;1;TON;3;7.214;true;0;2;66.66667%;0.4158580537843083;355.22913679810324
TROIS;TRAIN;1;SAC;3;10.499;true;0;0;0.0%;0.2857414991903991;584.608230177577
TROIS;TRAIN;1;SUR;3;12.38;true;0;2;66.66667%;0.24232633279483035;847.5435001411403
TROIS;TRAIN;1;LES;3;14.1;true;0;2;66.66667%;0.2127659574468085;1024.6766036826002
TROIS;TRAIN;1;EPAULES;7;28.274;true;1;4;57.14286%;0.24757727947938035;1831.1767051024733
TROIS;TRAIN;1;TES;3;5.015;true;0;1;33.333336%;0.5982053838484547;298.05601426610036
TROIS;TRAIN;1;FRÈRES;6;11.765;true;0;3;50.0%;0.509987250318742;682.933288196931
TROIS;TRAIN;1;SONT;4;14.182;true;0;3;75.0%;0.28204766605556336;876.3304021127116
TROIS;TRAIN;1;DANS;4;17.106;true;0;3;75.0%;0.23383608090728397;1087.4823347436316
