Keyboard;Mode;Participant;Phrase;NbChar;Duree;Correct;NbErrors;NbPredictionUsed;predCharRatio;CharParSec;Distance
TROIS;TRAIN;1;JE;2;15.456;true;0;0;0.0%;0.12939958592132506;195.1346588076756
TROIS;TRAIN;1;SUIS;4;21.043;true;0;1;25.0%;0.19008696478638978;556.5577186976725
TROIS;TRAIN;1;FIÈRE;5;31.757;true;0;1;20.0%;0.15744560254432094;1171.8021092419294
TROIS;TRAIN;1;DE;2;34.191;true;0;2;100.0%;0.05849492556520721;1219.687388817181
TROIS;TRAIN;1;MON;3;37.529;true;0;2;66.66667%;0.07993818113991845;1456.946214882224
TROIS;TRAIN;1;FILS;4;41.178;true;0;1;25.0%;0.09713924911360436;1726.06896730698
